test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
2589794813,130344457,"Lenovo/LenovoTAB2A8-50/A8-50LC:5.1/LMY47D/A8-50LC_S000035_151016_ROW:user/release-keys","2017-02-01 00:00:08","89.204.139.xxx",20123,2558,54,"Salzgitter","Germany","DE",52.1379,10.3899,"Hanne & Fomenko GbR","Germany","DE","UNKNOWN","??","UNKNOWN",51.29930,9.49100,69.6302,"Telefonica Germany",1,"MEDIONmobile","","",17,17,"Lenovo","A8-50LC","mt6735","LMY47D","LENOVO","Lenovo TAB 2 A8-50LC","LenovoTAB2A8-50","","33056509",2,"Germany","Germany","country","Germany","DE","","","",""
2589794814,150375921,"Xiaomi/land/land:6.0.1/MMB29M/V8.1.1.0.MALMIDI:user/release-keys","2017-02-01 00:00:09","2.77.51.xxx",15032,2029,80,"Kurgan","Russian Federation","RU",55.4667,65.3500,"Beeline","Russia","RU","Kurgan Oblast","KGN","Sumki",54.43381,66.05963,76.8047,"Kcell JSC",1,"ACTIV","401","2",17,17,"Xiaomi","land","qcom","MMB29M","Xiaomi","Redmi 3S","land","","118077698",1,"Troebratskiy 110000, Kazakhstan","Troebratskiy","locality","Kazakhstan","KZ","Kostanay Region","Uzunkol District","","110000"
2589794818,152541028,"asus/WW_Z00A/Z00A:6.0.1/MMB29P/4.21.40.184_20161024_0577_user:user/release-keys","2017-02-01 00:00:09","171.253.11.xxx",13238,15888,23,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"SCTV Co.Ltd","Vietnam","VN","Ho Chi Minh","SG","Ho Chi Minh City",10.81420,106.64380,4.70557,"Viettel Corporation",0,"VIETTEL","452","4",15,15,"asus","Z00A","mofd_v1","MMB29P","asus","ASUS_Z00AD","WW_Z00A","","179216387",2,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","",""
2589794825,134013961,"Xiaomi/kenzo/kenzo:5.1.1/LMY47V/V7.5.3.0.LHOMIDE:user/release-keys","2017-02-01 00:00:10","47.29.152.xxx",11293,2179,21,"Guwahati","India","IN",26.1445,91.7362,"Jio","India","IN","Assam","AS","Guwahati",26.18597,91.79480,4.63422,"Jio",1,"Jio 4G","405","855",15,15,"Xiaomi","kenzo","qcom","LMY47V","Xiaomi","Redmi Note 3","kenzo","","367122",1,"Guwahati, Assam 781001, India","Guwahati","locality","India","IN","Assam","Kamrup Metropolitan","","781021"
2589794828,133595253,"Xiaomi/2014818/HM2014818:5.1.1/LMY47V/7.1.19:user/release-keys","2017-02-01 00:00:10","42.111.123.xxx",7702,6994,20,"New Delhi","India","IN",28.6100,77.2300,"Vodafone India","India","IN","Delhi","DL","Shahdara",28.67134,77.25681,4.54145,"Vodafone India",1,"VODAFONE IN","404","11",15,15,"Xiaomi","HM2014818","qcom","LMY47V","Xiaomi","2014818","2014818","","205179656",1,"Delhi, India","Delhi","locality","India","IN","Delhi","North West Delhi","","110053"
2589794830,55017360,"Sony/D2303/D2303:5.1.1/18.6.A.0.182/1643041205:user/release-keys","2017-02-01 00:00:10","31.173.240.xxx",6839,4624,108,"Moscow","Russian Federation","RU",55.7517,37.6178,"MGTS","Russia","RU","UNKNOWN","??","UNKNOWN",55.73860,37.60680,1.00225,"PJSC MegaFon",1,"MegaFon","250","2",17,17,"Sony","D2303","qcom","18.6.A.0.182","Sony","D2303","D2303","","35470808",2,"Russia","Russia","country","Russia","RU","","","",""
2589794833,89929117,"samsung/j1aceltedx/j1acelte:4.4.4/KTU84P/J110GDXU0APB1:user/release-keys","2017-02-01 00:00:10","114.125.117.xxx",1815,2379,107,"Kuta","Indonesia","ID",-8.6500,115.2167,"Neuviz","Indonesia","ID","West Nusa Tenggara","NB","Kaboro",-8.55425,118.69528,238.001,"Telkomsel",1,"TELKOMSEL","","",0,0,"samsung","j1acelte","pxa1908","KTU84P","samsung","SM-J110G","j1aceltedx","","30991",1,"Talabiu, Woha, Bima, West Nusa Tenggara, Indonesia","Talabiu","administrative_area_level_4","Indonesia","ID","West Nusa Tenggara","Bima","Woha, Talabiu","84173"
2589794834,144724911,"OPPO/A1601/A1601:5.1/LMY47I/1470920503:user/release-keys","2017-02-01 00:00:10","49.34.118.xxx",9600,2714,44,"Ahemdabad","India","IN",23.0300,72.5800,"ISHAN Netsol Pvt Ltd","India","IN","Gujarat","GJ","Vadodara",22.29520,73.22668,65.4767,"Reliance Jio Infocomm Ltd",1,"Jio 4G","405","857",15,15,"OPPO","A1601","mt6755","LMY47I","OPPO","A1601","A1601","","1434130",1,"Vadodara, Gujarat, India","Vadodara","locality","India","IN","Gujarat","Vadodara","",""
2589794838,149310545,"LYF/LS5505/LS-5505:6.0.1/LYF_LS-5505_01_05/build10061237:userdebug/test-keys","2017-02-01 00:00:10","49.44.51.xxx",71668,8844,23,"Thane","India","IN",19.1828,72.9612,"Softcall Coc pvt ltd","India","IN","Maharashtra","MH","Mumbai",19.09854,72.88085,7.84882,"Reliance Jio Infocomm Ltd",1,"Jio 4G","405","874",15,15,"LYF","LS-5505","qcom","LYF_LS-5505_01_05","LYF","LS-5505","LS5505","","100716033",1,"Mumbai, Maharashtra, India","Mumbai","locality","India","IN","Maharashtra","Mumbai","","400072"
2589794840,87815887,"Sony/C6903/C6903:5.1.1/14.6.A.1.216/3760228123:user/release-keys","2017-02-01 00:00:10","31.2.218.xxx",1271,1204,50,"Tehran","Iran, Islamic Republic of","IR",35.6833,51.4167,"Mabnatelecom","Iran","IR","UNKNOWN","??","UNKNOWN",35.69610,51.42310,0.955515,"Mobile Communication Company of Iran PLC",1,"IR-TCI","432","11",17,17,"Sony","C6903","qcom","14.6.A.1.216","Sony","C6903","C6903","","7280631",2,"Iran","Iran","country","Iran","IR","","","",""
